epoch,accuracy,loss,val_accuracy,val_loss
0,0.7020000219345093,0.9237832427024841,0.7912499904632568,0.508825421333313
1,0.8199999928474426,0.43553560972213745,0.887499988079071,0.28180861473083496
2,0.8700000047683716,0.3625393807888031,0.9100000262260437,0.24991203844547272
3,0.8930000066757202,0.2960231602191925,0.8700000047683716,0.3538333475589752
4,0.9150000214576721,0.22444525361061096,0.8987500071525574,0.3119547665119171
5,0.9190000295639038,0.22897744178771973,0.8949999809265137,0.346731573343277
6,0.9430000185966492,0.17687660455703735,0.8525000214576721,0.47520244121551514
7,0.9200000166893005,0.23138578236103058,0.8974999785423279,0.3447686433792114
8,0.9409999847412109,0.1430979073047638,0.9024999737739563,0.37713801860809326
9,0.9580000042915344,0.11338826268911362,0.8887500166893005,0.4368305206298828
